"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"29308","32","text","0","29314","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"52899","","instructions","1","82218","0.0-1.0","[{""page_index"":0,""viewing_time"":52899}]","","","","","","","","","","","","","","","",""
"20879","","survey-multi-choice","2","103157","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","110309","0.0-3.0","","{""age"":""19"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","127445","0.0-4.0","","","3-2","15403","40","0","Training","Stims/Figures/118-J-0-2.bmp","nama:la","Up","38","1","1","5","S","C","1"
"","","approach-retreat","5","135955","0.0-5.0","","","3-2","6917","38","1","Training","Stims/Figures/118-C-20-2.bmp","papa:ta","Down","38","1","2","5","P","C","2"
"","","approach-retreat","6","143587","0.0-6.0","","","3-2","6077","40","0","Training","Stims/Figures/102-C-20-4.bmp","taka:ta","Down","38","1","3","5","P","C","3"
"","","approach-retreat","7","149756","0.0-7.0","","","3-2","4615","38","0","Training","Stims/Figures/100-J-10-3.bmp","ma:ma:la","Down","40","1","4","5","S","C","4"
"","","approach-retreat","8","157199","0.0-8.0","","","3-2","5888","37","0","Training","Stims/Figures/100-C-30-3.bmp","pakata","Left","39","1","5","5","P","C","5"
"","","approach-retreat","9","166110","0.0-9.0","","","3-2","7367","40","0","Training","Stims/Figures/44-J-10-3.bmp","ma:la:na","Up","38","1","6","5","S","C","6"
"","","approach-retreat","10","172619","0.0-10.0","","","3-2","4956","37","1","Training","Stims/Figures/27-C-30-1.bmp","pa:ka:ta","Right","37","1","7","5","P","C","7"
"","","approach-retreat","11","179826","0.0-11.0","","","3-2","5640","39","1","Training","Stims/Figures/44-C-30-3.bmp","taka:ka","Left","39","1","8","5","P","C","8"
"","","approach-retreat","12","186493","0.0-12.0","","","3-2","5102","40","1","Training","Stims/Figures/7-C-20-4.bmp","paka:ta","Up","40","1","9","5","P","C","9"
"","","approach-retreat","13","195113","0.0-13.0","","","3-2","7078","37","1","Training","Stims/Figures/57-J-0-1.bmp","na:ma:la","Left","37","1","10","5","S","C","10"
"","","approach-retreat","14","202172","0.0-14.0","","","3-2","5511","39","0","Training","Stims/Figures/139-C-20-2.bmp","takata","Right","37","1","11","5","P","C","11"
"","","approach-retreat","15","211281","0.0-15.0","","","3-2","7555","38","0","Training","Stims/Figures/7-J-10-4.bmp","na:la:na","Down","40","1","12","5","S","C","12"
"","","approach-retreat","16","221508","0.0-16.0","","","3-2","8692","37","1","Training","Stims/Figures/27-J-0-1.bmp","mama:la","Left","37","1","13","5","S","C","13"
"","","approach-retreat","17","229613","0.0-17.0","","","3-2","6542","40","1","Training","Stims/Figures/57-C-30-1.bmp","tapa:ka","Up","40","1","14","5","P","C","14"
"","","approach-retreat","18","239631","0.0-18.0","","","3-2","8471","37","0","Training","Stims/Figures/102-J-10-4.bmp","na:lala","Right","39","1","15","5","S","C","15"
"","","approach-retreat","19","247025","0.0-19.0","","","3-2","5849","39","1","Training","Stims/Figures/139-J-0-2.bmp","na:la:la","Right","39","1","16","5","S","C","16"
"","","approach-retreat","20","254942","0.0-20.0","","","3-2","6364","37","1","Training","Stims/Figures/44-J-10-3.bmp","ma:la:na","Left","37","2","1","5","S","C","17"
"","","approach-retreat","21","263705","0.0-21.0","","","3-2","7208","40","1","Training","Stims/Figures/118-J-0-2.bmp","nama:la","Down","40","2","2","5","S","C","18"
"","","approach-retreat","22","270650","0.0-22.0","","","3-2","5395","38","0","Training","Stims/Figures/139-J-0-2.bmp","na:la:la","Down","40","2","3","5","S","C","19"
"","","approach-retreat","23","277411","0.0-23.0","","","3-2","5210","40","0","Training","Stims/Figures/27-J-0-1.bmp","mama:la","Up","38","2","4","5","S","C","20"
"","","approach-retreat","24","283680","0.0-24.0","","","3-2","4727","37","0","Training","Stims/Figures/7-J-10-4.bmp","na:la:na","Right","39","2","5","5","S","C","21"
"","","approach-retreat","25","289686","0.0-25.0","","","3-2","4447","38","0","Training","Stims/Figures/44-C-30-3.bmp","taka:ka","Up","40","2","6","5","P","C","22"
"","","approach-retreat","26","297991","0.0-26.0","","","3-2","6761","40","0","Training","Stims/Figures/100-C-30-3.bmp","pakata","Down","38","2","7","5","P","C","23"
"","","approach-retreat","27","303864","0.0-27.0","","","3-2","4330","39","1","Training","Stims/Figures/139-C-20-2.bmp","takata","Left","39","2","8","5","P","C","24"
"","","approach-retreat","28","310478","0.0-28.0","","","3-2","5059","40","0","Training","Stims/Figures/57-C-30-1.bmp","tapa:ka","Down","38","2","9","5","P","C","25"
"","","approach-retreat","29","316432","0.0-29.0","","","3-2","4399","38","0","Training","Stims/Figures/27-C-30-1.bmp","pa:ka:ta","Up","40","2","10","5","P","C","26"
"","","approach-retreat","30","330609","0.0-30.0","","","3-2","12615","39","1","Training","Stims/Figures/100-J-10-3.bmp","ma:ma:la","Right","39","2","11","5","S","C","27"
"","","approach-retreat","31","405637","0.0-31.0","","","3-2","73472","39","0","Training","Stims/Figures/7-C-20-4.bmp","paka:ta","Right","37","2","12","5","P","C","28"
"","","approach-retreat","32","411394","0.0-32.0","","","3-2","4214","37","0","Training","Stims/Figures/118-C-20-2.bmp","papa:ta","Left","39","2","13","5","P","C","29"
"","","approach-retreat","33","421435","0.0-33.0","","","3-2","8500","40","1","Training","Stims/Figures/102-C-20-4.bmp","taka:ta","Up","40","2","14","5","P","C","30"
"","","approach-retreat","34","427844","0.0-34.0","","","3-2","4857","37","1","Training","Stims/Figures/102-J-10-4.bmp","na:lala","Left","37","2","15","5","S","C","31"
"","","approach-retreat","35","433547","0.0-35.0","","","3-2","4156","39","1","Training","Stims/Figures/57-J-0-1.bmp","na:ma:la","Right","39","2","16","5","S","C","32"
"","","approach-retreat","36","439989","0.0-36.0","","","3-2","4887","40","1","Training","Stims/Figures/118-C-20-2.bmp","papa:ta","Up","40","3","1","5","P","C","33"
"","","approach-retreat","37","447170","0.0-37.0","","","3-2","5633","38","1","Training","Stims/Figures/100-J-10-3.bmp","ma:ma:la","Up","38","3","2","5","S","C","34"
"","","approach-retreat","38","454123","0.0-38.0","","","3-2","5394","40","1","Training","Stims/Figures/139-J-0-2.bmp","na:la:la","Down","40","3","3","5","S","C","35"
"","","approach-retreat","39","462022","0.0-39.0","","","3-2","6349","37","0","Training","Stims/Figures/102-C-20-4.bmp","taka:ta","Left","39","3","4","5","P","C","36"
"","","approach-retreat","40","469939","0.0-40.0","","","3-2","6364","40","1","Training","Stims/Figures/102-J-10-4.bmp","na:lala","Down","40","3","5","5","S","C","37"
"","","approach-retreat","41","478875","0.0-41.0","","","3-2","7387","39","0","Training","Stims/Figures/7-C-20-4.bmp","paka:ta","Right","37","3","6","5","P","C","38"
"","","approach-retreat","42","484857","0.0-42.0","","","3-2","4432","37","0","Training","Stims/Figures/44-C-30-3.bmp","taka:ka","Left","39","3","7","5","P","C","39"
"","","approach-retreat","43","491825","0.0-43.0","","","3-2","5427","38","1","Training","Stims/Figures/139-C-20-2.bmp","takata","Down","38","3","8","5","P","C","40"
"","","approach-retreat","44","499453","0.0-44.0","","","3-2","6075","40","0","Training","Stims/Figures/27-C-30-1.bmp","pa:ka:ta","Down","38","3","9","5","P","C","41"
"","","approach-retreat","45","505560","0.0-45.0","","","3-2","4552","38","1","Training","Stims/Figures/57-J-0-1.bmp","na:ma:la","Up","38","3","10","5","S","C","42"
"","","approach-retreat","46","511788","0.0-46.0","","","3-2","4681","37","0","Training","Stims/Figures/118-J-0-2.bmp","nama:la","Right","39","3","11","5","S","C","43"
"","","approach-retreat","47","519014","0.0-47.0","","","3-2","5672","37","1","Training","Stims/Figures/57-C-30-1.bmp","tapa:ka","Right","37","3","12","5","P","C","44"
"","","approach-retreat","48","528351","0.0-48.0","","","3-2","7776","39","1","Training","Stims/Figures/100-C-30-3.bmp","pakata","Left","39","3","13","5","P","C","45"
"","","approach-retreat","49","534848","0.0-49.0","","","3-2","4947","37","0","Training","Stims/Figures/7-J-10-4.bmp","na:la:na","Right","39","3","14","5","S","C","46"
"","","approach-retreat","50","540690","0.0-50.0","","","3-2","4307","40","0","Training","Stims/Figures/27-J-0-1.bmp","mama:la","Up","38","3","15","5","S","C","47"
"","","approach-retreat","51","548713","0.0-51.0","","","3-2","6486","39","0","Training","Stims/Figures/44-J-10-3.bmp","ma:la:na","Left","37","3","16","5","S","C","48"
"","","approach-retreat","52","587064","0.0-52.0","","","3-2","36799","39","0","Training","Stims/Figures/57-C-30-1.bmp","tapa:ka","Right","37","4","1","5","P","C","49"
"","","approach-retreat","53","594506","0.0-53.0","","","3-2","5893","40","0","Training","Stims/Figures/27-C-30-1.bmp","pa:ka:ta","Down","38","4","2","5","P","C","50"
"","","approach-retreat","54","605451","0.0-54.0","","","3-2","9395","38","0","Training","Stims/Figures/100-C-30-3.bmp","pakata","Up","40","4","3","5","P","C","51"
"","","approach-retreat","55","611352","0.0-55.0","","","3-2","4354","40","0","Training","Stims/Figures/118-C-20-2.bmp","papa:ta","Down","38","4","4","5","P","C","52"
"","","approach-retreat","56","617868","0.0-56.0","","","3-2","4964","38","0","Training","Stims/Figures/139-C-20-2.bmp","takata","Up","40","4","5","5","P","C","53"
"","","approach-retreat","57","628016","0.0-57.0","","","3-2","8603","37","0","Training","Stims/Figures/27-J-0-1.bmp","mama:la","Right","39","4","6","5","S","C","54"
"","","approach-retreat","58","636759","0.0-58.0","","","3-2","7194","37","0","Training","Stims/Figures/7-J-10-4.bmp","na:la:na","Right","39","4","7","5","S","C","55"
"","","approach-retreat","59","642938","0.0-59.0","","","3-2","4630","40","0","Training","Stims/Figures/7-C-20-4.bmp","paka:ta","Down","38","4","8","5","P","C","56"
"","","approach-retreat","60","649150","0.0-60.0","","","3-2","4673","37","0","Training","Stims/Figures/44-J-10-3.bmp","ma:la:na","Right","39","4","9","5","S","C","57"
"","","approach-retreat","61","654832","0.0-61.0","","","3-2","4133","39","0","Training","Stims/Figures/102-J-10-4.bmp","na:lala","Left","37","4","10","5","S","C","58"
"","","approach-retreat","62","661137","0.0-62.0","","","3-2","4755","38","1","Training","Stims/Figures/118-J-0-2.bmp","nama:la","Up","38","4","11","5","S","C","59"
"","","approach-retreat","63","670784","0.0-63.0","","","3-2","8090","39","1","Training","Stims/Figures/102-C-20-4.bmp","taka:ta","Left","39","4","12","5","P","C","60"
"","","approach-retreat","64","680823","0.0-64.0","","","3-2","8480","37","1","Training","Stims/Figures/139-J-0-2.bmp","na:la:la","Left","37","4","13","5","S","C","61"
"","","approach-retreat","65","687881","0.0-65.0","","","3-2","5506","40","1","Training","Stims/Figures/44-C-30-3.bmp","taka:ka","Up","40","4","14","5","P","C","62"
"","","approach-retreat","66","696107","0.0-66.0","","","3-2","6683","39","0","Training","Stims/Figures/100-J-10-3.bmp","ma:ma:la","Left","37","4","15","5","S","C","63"
"","","approach-retreat","67","702112","0.0-67.0","","","3-2","4457","40","1","Training","Stims/Figures/57-J-0-1.bmp","na:ma:la","Down","40","4","16","5","S","C","64"
"","","approach-retreat","68","709460","0.0-68.0","","","3-2","5796","39","1","Training","Stims/Figures/27-J-0-1.bmp","mama:la","Right","39","5","1","5","S","C","65"
"","","approach-retreat","69","716022","0.0-69.0","","","3-2","5020","40","0","Training","Stims/Figures/7-J-10-4.bmp","na:la:na","Up","38","5","2","5","S","C","66"
"","","approach-retreat","70","722142","0.0-70.0","","","3-2","4587","40","1","Training","Stims/Figures/100-C-30-3.bmp","pakata","Up","40","5","3","5","P","C","67"
"","","approach-retreat","71","730418","0.0-71.0","","","3-2","6740","38","0","Training","Stims/Figures/139-J-0-2.bmp","na:la:la","Down","40","5","4","5","S","C","68"
"","","approach-retreat","72","736844","0.0-72.0","","","3-2","4902","40","1","Training","Stims/Figures/118-J-0-2.bmp","nama:la","Down","40","5","5","5","S","C","69"
"","","approach-retreat","73","743230","0.0-73.0","","","3-2","4848","39","1","Training","Stims/Figures/102-C-20-4.bmp","taka:ta","Left","39","5","6","5","P","C","70"
