"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","view_history","responses","Id","Rt","ResKeyCode","ResCorr","TrialType2","Image","Label","Location","CorrectResponse","Block","BlockTrial","Condition","LabelType","Subcondition","trialNum"
"48486","32","text","0","48488","0.0-0.0-0.0","","","","","","","","","","","","","","","","",""
"94326","","instructions","1","142816","0.0-1.0","[{""page_index"":0,""viewing_time"":94326}]","","","","","","","","","","","","","","","",""
"83329","","survey-multi-choice","2","226161","0.0-2.0","","{""Q0"":""Da"",""Q1"":""Da"",""Q2"":""Da"",""Q3"":""Da"",""Q4"":""Da"",""Q5"":""Da""}","","","","","","","","","","","","","","",""
"","","bio","3","240951","0.0-3.0","","{""age"":""18"",""gender"":""f"",""specify"":""""}","","","","","","","","","","","","","","",""
"","","approach-retreat","4","258564","0.0-4.0","","","1-1","16109","39","1","Training","Stims/Figures/27-C-30-1.bmp","vafa:va","Right","39","1","1","6B","C1","J","1"
"","","approach-retreat","5","266916","0.0-5.0","","","1-1","6848","39","0","Training","Stims/Figures/7-C-20-4.bmp","vafa:sha","Left","37","1","2","6B","C1","J","2"
"","","approach-retreat","6","277332","0.0-6.0","","","1-1","8913","38","1","Training","Stims/Figures/144-C-30-3.bmp","fa:sha:va","Up","38","1","3","6B","C1","J","3"
"","","approach-retreat","7","285165","0.0-7.0","","","1-1","6329","39","1","Training","Stims/Figures/57-J-0-1.bmp","za:ha:ha","Left","39","1","4","6B","C2","J","4"
"","","approach-retreat","8","292708","0.0-8.0","","","1-1","6041","40","1","Training","Stims/Figures/27-J-0-1.bmp","zasa:ha","Up","40","1","5","6B","C2","J","5"
"","","approach-retreat","9","300092","0.0-9.0","","","1-1","5880","38","1","Training","Stims/Figures/84-C-20-2.bmp","va:fasha","Up","38","1","6","6B","C1","J","6"
"","","approach-retreat","10","307109","0.0-10.0","","","1-1","5512","40","1","Training","Stims/Figures/74-C-20-4.bmp","va:sha:sha","Down","40","1","7","6B","C1","J","7"
"","","approach-retreat","11","313468","0.0-11.0","","","1-1","4855","37","1","Training","Stims/Figures/74-J-10-4.bmp","sasaza","Right","37","1","8","6B","C2","J","8"
"","","approach-retreat","12","321396","0.0-12.0","","","1-1","6425","39","1","Training","Stims/Figures/84-J-0-2.bmp","sasa:za","Left","39","1","9","6B","C2","J","9"
"","","approach-retreat","13","328739","0.0-13.0","","","1-1","5839","39","0","Training","Stims/Figures/144-J-10-3.bmp","sa:ha:ha","Right","37","1","10","6B","C2","J","10"
"","","approach-retreat","14","335853","0.0-14.0","","","1-1","5609","40","1","Training","Stims/Figures/111-J-10-3.bmp","saha:ha","Up","40","1","11","6B","C2","J","11"
"","","approach-retreat","15","344044","0.0-15.0","","","1-1","6687","37","1","Training","Stims/Figures/57-C-30-1.bmp","va:shava","Left","37","1","12","6B","C1","J","12"
"","","approach-retreat","16","352157","0.0-16.0","","","1-1","6608","37","1","Training","Stims/Figures/7-J-10-4.bmp","sa:haha","Right","37","1","13","6B","C2","J","13"
"","","approach-retreat","17","361060","0.0-17.0","","","1-1","7399","38","1","Training","Stims/Figures/85-J-0-2.bmp","za:haha","Down","38","1","14","6B","C2","J","14"
"","","approach-retreat","18","369157","0.0-18.0","","","1-1","6592","40","1","Training","Stims/Figures/85-C-20-2.bmp","fa:sha:sha","Down","40","1","15","6B","C1","J","15"
"","","approach-retreat","19","375171","0.0-19.0","","","1-1","4511","40","1","Training","Stims/Figures/111-C-30-3.bmp","fafa:va","Down","40","1","16","6B","C1","J","16"
"","","approach-retreat","20","384067","0.0-20.0","","","1-1","7392","38","0","Training","Stims/Figures/84-C-20-2.bmp","va:fasha","Down","40","2","1","6B","C1","J","17"
"","","approach-retreat","21","391028","0.0-21.0","","","1-1","5457","40","1","Training","Stims/Figures/27-J-0-1.bmp","zasa:ha","Up","40","2","2","6B","C2","J","18"
"","","approach-retreat","22","397132","0.0-22.0","","","1-1","4601","39","1","Training","Stims/Figures/144-J-10-3.bmp","sa:ha:ha","Left","39","2","3","6B","C2","J","19"
"","","approach-retreat","23","403389","0.0-23.0","","","1-1","4752","38","1","Training","Stims/Figures/84-J-0-2.bmp","sasa:za","Down","38","2","4","6B","C2","J","20"
"","","approach-retreat","24","410036","0.0-24.0","","","1-1","5143","39","1","Training","Stims/Figures/144-C-30-3.bmp","fa:sha:va","Right","39","2","5","6B","C1","J","21"
"","","approach-retreat","25","416036","0.0-25.0","","","1-1","4496","39","1","Training","Stims/Figures/7-C-20-4.bmp","vafa:sha","Right","39","2","6","6B","C1","J","22"
"","","approach-retreat","26","424356","0.0-26.0","","","1-1","6816","39","1","Training","Stims/Figures/74-C-20-4.bmp","va:sha:sha","Right","39","2","7","6B","C1","J","23"
"","","approach-retreat","27","431316","0.0-27.0","","","1-1","5455","40","1","Training","Stims/Figures/7-J-10-4.bmp","sa:haha","Up","40","2","8","6B","C2","J","24"
"","","approach-retreat","28","437524","0.0-28.0","","","1-1","4705","40","1","Training","Stims/Figures/111-J-10-3.bmp","saha:ha","Up","40","2","9","6B","C2","J","25"
"","","approach-retreat","29","444219","0.0-29.0","","","1-1","5193","38","1","Training","Stims/Figures/57-J-0-1.bmp","za:ha:ha","Down","38","2","10","6B","C2","J","26"
"","","approach-retreat","30","450196","0.0-30.0","","","1-1","4473","40","1","Training","Stims/Figures/74-J-10-4.bmp","sasaza","Up","40","2","11","6B","C2","J","27"
"","","approach-retreat","31","460429","0.0-31.0","","","1-1","8729","37","1","Training","Stims/Figures/27-C-30-1.bmp","vafa:va","Left","37","2","12","6B","C1","J","28"
"","","approach-retreat","32","466292","0.0-32.0","","","1-1","4359","40","1","Training","Stims/Figures/111-C-30-3.bmp","fafa:va","Down","40","2","13","6B","C1","J","29"
"","","approach-retreat","33","472469","0.0-33.0","","","1-1","4672","37","1","Training","Stims/Figures/57-C-30-1.bmp","va:shava","Left","37","2","14","6B","C1","J","30"
"","","approach-retreat","34","480341","0.0-34.0","","","1-1","6369","37","1","Training","Stims/Figures/85-J-0-2.bmp","za:haha","Right","37","2","15","6B","C2","J","31"
"","","approach-retreat","35","487348","0.0-35.0","","","1-1","5504","37","1","Training","Stims/Figures/85-C-20-2.bmp","fa:sha:sha","Left","37","2","16","6B","C1","J","32"
"","","approach-retreat","36","494772","0.0-36.0","","","1-1","5920","38","1","Training","Stims/Figures/7-C-20-4.bmp","vafa:sha","Up","38","3","1","6B","C1","J","33"
"","","approach-retreat","37","500347","0.0-37.0","","","1-1","4071","38","1","Training","Stims/Figures/111-C-30-3.bmp","fafa:va","Up","38","3","2","6B","C1","J","34"
"","","approach-retreat","38","506972","0.0-38.0","","","1-1","5120","38","1","Training","Stims/Figures/111-J-10-3.bmp","saha:ha","Down","38","3","3","6B","C2","J","35"
"","","approach-retreat","39","513181","0.0-39.0","","","1-1","4705","40","1","Training","Stims/Figures/84-J-0-2.bmp","sasa:za","Up","40","3","4","6B","C2","J","36"
"","","approach-retreat","40","520653","0.0-40.0","","","1-1","5968","37","0","Training","Stims/Figures/85-C-20-2.bmp","fa:sha:sha","Right","39","3","5","6B","C1","J","37"
"","","approach-retreat","41","527877","0.0-41.0","","","1-1","5721","38","1","Training","Stims/Figures/85-J-0-2.bmp","za:haha","Down","38","3","6","6B","C2","J","38"
"","","approach-retreat","42","535852","0.0-42.0","","","1-1","6471","37","0","Training","Stims/Figures/74-J-10-4.bmp","sasaza","Left","39","3","7","6B","C2","J","39"
"","","approach-retreat","43","542069","0.0-43.0","","","1-1","4713","39","1","Training","Stims/Figures/74-C-20-4.bmp","va:sha:sha","Right","39","3","8","6B","C1","J","40"
"","","approach-retreat","44","547805","0.0-44.0","","","1-1","4233","37","1","Training","Stims/Figures/84-C-20-2.bmp","va:fasha","Left","37","3","9","6B","C1","J","41"
"","","approach-retreat","45","553820","0.0-45.0","","","1-1","4511","39","1","Training","Stims/Figures/144-C-30-3.bmp","fa:sha:va","Right","39","3","10","6B","C1","J","42"
"","","approach-retreat","46","559668","0.0-46.0","","","1-1","4344","39","1","Training","Stims/Figures/27-J-0-1.bmp","zasa:ha","Left","39","3","11","6B","C2","J","43"
"","","approach-retreat","47","567365","0.0-47.0","","","1-1","6193","37","1","Training","Stims/Figures/144-J-10-3.bmp","sa:ha:ha","Right","37","3","12","6B","C2","J","44"
"","","approach-retreat","48","573420","0.0-48.0","","","1-1","4552","38","1","Training","Stims/Figures/27-C-30-1.bmp","vafa:va","Up","38","3","13","6B","C1","J","45"
"","","approach-retreat","49","580412","0.0-49.0","","","1-1","5487","37","1","Training","Stims/Figures/57-C-30-1.bmp","va:shava","Left","37","3","14","6B","C1","J","46"
"","","approach-retreat","50","586548","0.0-50.0","","","1-1","4632","38","1","Training","Stims/Figures/7-J-10-4.bmp","sa:haha","Down","38","3","15","6B","C2","J","47"
"","","approach-retreat","51","594780","0.0-51.0","","","1-1","6729","38","1","Training","Stims/Figures/57-J-0-1.bmp","za:ha:ha","Down","38","3","16","6B","C2","J","48"
"","","approach-retreat","52","600621","0.0-52.0","","","1-1","4337","38","1","Training","Stims/Figures/144-J-10-3.bmp","sa:ha:ha","Down","38","4","1","6B","C2","J","49"
"","","approach-retreat","53","611108","0.0-53.0","","","1-1","8984","39","1","Training","Stims/Figures/57-J-0-1.bmp","za:ha:ha","Left","39","4","2","6B","C2","J","50"
"","","approach-retreat","54","618557","0.0-54.0","","","1-1","5944","38","1","Training","Stims/Figures/111-J-10-3.bmp","saha:ha","Down","38","4","3","6B","C2","J","51"
"","","approach-retreat","55","625493","0.0-55.0","","","1-1","5431","38","1","Training","Stims/Figures/27-J-0-1.bmp","zasa:ha","Down","38","4","4","6B","C2","J","52"
"","","approach-retreat","56","631611","0.0-56.0","","","1-1","4615","40","1","Training","Stims/Figures/7-J-10-4.bmp","sa:haha","Up","40","4","5","6B","C2","J","53"
"","","approach-retreat","57","637716","0.0-57.0","","","1-1","4601","37","1","Training","Stims/Figures/57-C-30-1.bmp","va:shava","Left","37","4","6","6B","C1","J","54"
"","","approach-retreat","58","648044","0.0-58.0","","","1-1","8824","37","1","Training","Stims/Figures/74-J-10-4.bmp","sasaza","Right","37","4","7","6B","C2","J","55"
"","","approach-retreat","59","654837","0.0-59.0","","","1-1","5288","38","1","Training","Stims/Figures/144-C-30-3.bmp","fa:sha:va","Up","38","4","8","6B","C1","J","56"
"","","approach-retreat","60","660843","0.0-60.0","","","1-1","4505","38","1","Training","Stims/Figures/7-C-20-4.bmp","vafa:sha","Up","38","4","9","6B","C1","J","57"
"","","approach-retreat","61","667804","0.0-61.0","","","1-1","5457","37","1","Training","Stims/Figures/85-C-20-2.bmp","fa:sha:sha","Left","37","4","10","6B","C1","J","58"
"","","approach-retreat","62","675084","0.0-62.0","","","1-1","5775","40","1","Training","Stims/Figures/84-C-20-2.bmp","va:fasha","Down","40","4","11","6B","C1","J","59"
"","","approach-retreat","63","681348","0.0-63.0","","","1-1","4759","37","1","Training","Stims/Figures/27-C-30-1.bmp","vafa:va","Left","37","4","12","6B","C1","J","60"
"","","approach-retreat","64","687204","0.0-64.0","","","1-1","4352","39","1","Training","Stims/Figures/111-C-30-3.bmp","fafa:va","Right","39","4","13","6B","C1","J","61"
"","","approach-retreat","65","693452","0.0-65.0","","","1-1","4743","37","1","Training","Stims/Figures/84-J-0-2.bmp","sasa:za","Right","37","4","14","6B","C2","J","62"
"","","approach-retreat","66","699796","0.0-66.0","","","1-1","4841","38","1","Training","Stims/Figures/74-C-20-4.bmp","va:sha:sha","Up","38","4","15","6B","C1","J","63"
"","","approach-retreat","67","705948","0.0-67.0","","","1-1","4648","37","1","Training","Stims/Figures/85-J-0-2.bmp","za:haha","Right","37","4","16","6B","C2","J","64"
"","","approach-retreat","68","711604","0.0-68.0","","","1-1","4152","37","1","Training","Stims/Figures/111-J-10-3.bmp","saha:ha","Right","37","5","1","6B","C2","J","65"
"","","approach-retreat","69","717964","0.0-69.0","","","1-1","4857","38","1","Training","Stims/Figures/74-J-10-4.bmp","sasaza","Down","38","5","2","6B","C2","J","66"
"","","approach-retreat","70","723868","0.0-70.0","","","1-1","4400","40","1","Training","Stims/Figures/85-J-0-2.bmp","za:haha","Up","40","5","3","6B","C2","J","67"
"","","approach-retreat","71","729876","0.0-71.0","","","1-1","4503","40","1","Training","Stims/Figures/74-C-20-4.bmp","va:sha:sha","Down","40","5","4","6B","C1","J","68"
"","","approach-retreat","72","735604","0.0-72.0","","","1-1","4225","37","1","Training","Stims/Figures/144-C-30-3.bmp","fa:sha:va","Left","37","5","5","6B","C1","J","69"
"","","approach-retreat","73","741932","0.0-73.0","","","1-1","4824","39","1","Training","Stims/Figures/84-J-0-2.bmp","sasa:za","Left","39","5","6","6B","C2","J","70"
"","","approach-retreat","74","747796","0.0-74.0","","","1-1","4360","39","1","Training","Stims/Figures/7-C-20-4.bmp","vafa:sha","Right","39","5","7","6B","C1","J","71"
"","","approach-retreat","75","753955","0.0-75.0","","","1-1","4657","38","1","Training","Stims/Figures/57-C-30-1.bmp","va:shava","Up","38","5","8","6B","C1","J","72"
"","","approach-retreat","76","759837","0.0-76.0","","","1-1","4378","37","1","Training","Stims/Figures/27-C-30-1.bmp","vafa:va","Left","37","5","9","6B","C1","J","73"
"","","approach-retreat","77","768212","0.0-77.0","","","1-1","6871","37","1","Training","Stims/Figures/57-J-0-1.bmp","za:ha:ha","Right","37","5","10","6B","C2","J","74"
"","","approach-retreat","78","776204","0.0-78.0","","","1-1","6488","38","1","Training","Stims/Figures/84-C-20-2.bmp","va:fasha","Up","38","5","11","6B","C1","J","75"
